year,month,chlor_a
2000,1,0.9038110375404358
2000,2,1.546664834022522
2000,3,0.6901641488075256
2000,4,0.5916882157325745
2000,5,0.4425453245639801
2000,6,0.3903439790010452
2000,7,0.33814263343811035
2000,8,0.29428285360336304
2000,9,0.2564808428287506
2000,10,0.32730093598365784
2000,11,2.185577392578125
2000,12,4.922214031219482
2001,1,0.9682517051696777
2001,2,1.1010677814483643
2001,3,0.7855693101882935
2001,4,0.4661996066570282
2001,5,0.2862132787704468
2001,6,0.292995423
2001,7,0.2997775673866272
2001,8,0.27494198083877563
2001,9,0.3008628189563751
2001,10,2.306074619293213
2001,11,4.686275482177734
2001,12,2.864827871322632
2002,1,2.5297675132751465
2002,2,2.025611162185669
2002,3,0.8477460145950317
2002,4,0.641165555
2002,5,0.39607152342796326
2002,6,0.31689712405204773
2002,7,0.2377227246761322
2002,8,0.26245471835136414
2002,9,0.27183717489242554
2002,10,0.7320084571838379
2002,11,4.957911491394043
2002,12,4.457841396331787
2003,1,1.3530917167663574
2003,2,1.6013638973236084
2003,3,0.5108428597450256
2003,4,0.3934377431869507
2003,5,0.3599892854690552
2003,6,0.3478151112794876
2003,7,0.33564093708992004
2003,8,0.350808322
2003,9,0.515842855
2003,10,3.6213290691375732
2003,11,1.5661126375198364
2003,12,2.625767946243286
2004,1,3.755448818206787
2004,2,1.8677818775177002
2004,3,1.0295939445495605
2004,4,0.7543367743492126
2004,5,0.4063948392868042
2004,6,0.33363232016563416
2004,7,0.2608698010444641
2004,8,0.28942254185676575
2004,9,0.30795222520828247
2004,10,0.693641186
2004,11,3.983334541320801
2004,12,1.7548457384109497
2005,1,0.7983762621879578
2005,2,0.9151703715324402
2005,3,0.8614974617958069
2005,4,0.530276895
2005,5,0.47929060459136963
2005,6,0.37164339423179626
2005,7,0.2639961838722229
2005,8,0.30587080121040344
2005,9,0.41528379917144775
2005,10,3.3872835636138916
2005,11,2.9130098819732666
2005,12,0.6756204962730408
2006,1,0.8122027516365051
2006,2,1.1663743257522583
2006,3,0.8556961417198181
2006,4,0.7518421411514282
2006,5,0.5736167430877686
2006,6,0.4173809140920639
2006,7,0.26114508509635925
2006,8,0.2827780544757843
2006,9,0.31808099150657654
2006,10,1.1766297817230225
2006,11,4.061995029449463
2006,12,3.0848538875579834
2007,1,1.9200962781906128
2007,2,1.3345816135406494
2007,3,0.5678029656410217
2007,4,0.42930710315704346
2007,5,0.38035550713539124
2007,6,0.33851441740989685
