Sample,,,,,,,Metal_A  [ He ] ,,,Metal_B  [ He ] ,,,Metal_C  [ He ] ,,,Metal_D  [ He ] ,,,Metal_E  [ He ] ,,,Metal_F [ He ] ,,,Metal_G  [ He ] ,,,Metal_H [ He ] ,,,Metal_I  [ He ] ,,,Metal_J  [ He ] ,,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD
,FALSE,0.d,2021/10/28 13:39,CalStd,1,0,0,15168.38135,5.231770056,0,57916.18948,1.13763197,0,455463.7634,1.565577243,0,302758.1458,4.172470265,0,160976.1512,4.375345107,0,62969.2854,3.874792944,0,169252.0214,5.382283305,0,26715.4973,40.23885297,0,858.30301,3.213157095,0,88096.01,1.994672172
,FALSE,1.d,2021/10/28 13:42,CalStd,2,1,33.61957973,45043.60994,6.090633688,6.891608955,126273.3203,2.595540442,19.59433882,471883.6957,2.083489987,3.550229619,153751.094,7.150677737,27.1828907,241896.3618,1.439254514,40.12519139,1533079.184,7.901331097,14.24538775,220639.5085,3.86206089,17.05221116,131634.1056,41.05562571,48.74744861,13671.135,3.311335441,17.05313123,1872008.521,3.607866091
,FALSE,2.5.d,2021/10/28 13:45,CalStd,3,2.5,0.314510237,78585.26275,5.490746413,46.92913622,153299.555,3.927211803,48.9104337,481113.7084,7.987487504,24.76077242,244325.8519,2.372049924,41.88891267,280029.6372,4.603354341,28.16709647,74298.35745,7.174773277,42.23194493,313494.7376,5.201087423,16.78443002,139549.4166,6.39583171,19.54017423,2330.8487,1.938609475,10.52143653,1886384.869,4.977660024
,FALSE,5.d,2021/10/28 13:48,CalStd,4,5,7.704250179,97476.40137,4.296907602,0.925746797,199002.6998,2.639171924,32.72420995,519309.6188,1.520403216,48.72866254,335436.03,4.419629922,32.82625499,295092.749,0.66639501,24.61896461,212260.028,2.263978439,0.166940529,381420.7078,8.63933965,11.22786089,238717.5357,27.39850853,32.60534697,2491.393,4.929373911,46.25758697,2420415.517,1.633704026
,FALSE,10.d,2021/10/28 13:52,CalStd,5,7.5,6.509014364,98044.62539,5.261272334,27.05738405,200068.722,3.584069337,19.29182392,568694.1666,10.50272782,9.170970236,402607.4745,5.221060797,47.83750026,317733.3137,3.211550514,42.56528439,237204.02,7.834932084,11.64758005,423607.6824,3.97945829,3.136800888,244138.9389,31.84685009,5.20373171,14105.112,3.24532679,36.26003479,2610212.53,5.039642204
,FALSE,15.d,2021/10/28 13:55,CalStd,6,10,12.05469415,99964.39482,6.990168101,14.56709156,2626149.476,2.717814674,24.88050652,661756.8089,5.945481355,45.51710142,1223414.014,1.65089232,22.96245872,320881.6948,9.18537049,41.501754,398918.4024,2.126164661,18.77222201,592968.3367,12.85947468,12.29394881,325460.5821,33.34061819,23.84918192,16102.599,3.736192412,46.05329299,3395871.215,1.025932187
,FALSE,20.d,2021/10/28 13:58,CalStd,7,20,2.651483679,100112.1534,4.336136896,43.65139611,267162.5736,0.827846047,31.50394082,732803.1856,5.675104647,28.58213574,1235118.253,6.014301069,6.569434954,336376.5171,2.719273415,19.53347856,495139.23,3.287731794,27.60841688,760600.6415,2.058696247,8.256015111,395979.3006,11.21676206,8.492984013,18610.32089,3.732977374,46.99734689,3582666.362,6.808424465
,FALSE,30.d,2021/10/28 14:01,CalStd,8,30,3.234702156,104296.9664,4.016710414,28.2108572,277362.3733,2.36751548,21.62590526,759472.3919,5.212433454,36.79327102,1535012.53,8.308629732,27.23963493,377511.6669,1.149850848,21.3893523,572059.165,4.895118989,19.63527466,770165.1199,13.07381742,20.14028579,399906.8688,8.024883218,46.75494636,18762.1857,3.897808051,8.37723616,4923943.012,3.886952946
,FALSE,40.d,2021/10/28 14:05,CalStd,9,40,30.95844385,112500.6565,2.946897288,40.07812114,3204543.505,1.728133186,16.69356824,856996.379,7.018912488,5.155003741,1693166.404,8.674696971,29.56517853,415621.2444,10.46763487,1.437505142,657343.952,4.879126404,8.647958925,783990.2054,4.352082514,4.709897609,420597.8014,10.47716037,8.791057771,1004166.701,1.362249427,1.57780723,5717532.813,4.512995244
,FALSE,50.d,2021/10/28 14:08,CalStd,10,50,9.565808448,32712.09742,3.063630611,2.519790819,3361085.066,2.318558797,1.759715032,925031.1447,1.796110562,44.04402137,1766086.608,5.015801385,30.85204679,545335.9269,1.217342475,15.93878392,692975.2427,3.090046402,24.88462982,812610.9486,7.885009522,6.656852543,495752.6421,24.71416268,40.39630166,2211230,3.442183083,39.42787086,1099507.939,5.913121406
,FALSE,blk1.d,2021/10/28 14:11,Sample,,Wash1,0.114835488,76.3928149,6.255054989,0.022974782,87.74572492,10.05783447,0.022974782,55.44034347,9.72564254,0.022974782,14.56794421,0.986633129,0.022974782,79.63404535,6.027716288,0.256311936,15056.68489,2.648188721,0.000623292,5.660184595,67.14393361,0.010428563,112.8081778,4.624692671,0,49.2491598,1.308113895,0,163.1004885,2.264060598
,FALSE,blk2.d,2021/10/28 14:14,Sample,,Wash2,0.066963765,160.5856829,3.018391419,0.022974782,12.28667914,13.15739251,0.022974782,24.39592327,10.29998705,0.022974782,46.93407257,1.459373802,0.022974782,71.46458137,0.403900538,0.037168116,13527.29055,4.379290311,0.00058399,0.798116818,60.0248941,0.010263834,44.09984393,2.487855209,0,164.3219116,3.813215148,0,126.4132533,5.582904158
