,Stomach (mg),Liver (mg) ,Muscle  (mg),Ink sac (mg) 
60-1,105.9,109.8,103.8,107
60-2,101.6,100,101.7,n/a
60-3,104.8,108.2,112.2,51.7
60-4,105.4,100.4,104.1,100.5
60-5,107.6,115.4,102.2,101.6
60-6,108.9,102.2,103.5,100.2
60-7,113.2,104.9,110.5,50.2
60-8,109.4,102.5,104.6,n/a
60-9,100.8,101.6,104.5,100.6
60-10,109.8,103.2,108,53.7
60-11,105.2,106.9,108.2,n/a
60-12,108.3,104.3,105.1,102.3
60-13,110.2,104.5,103.3,n/a
60-14,109.9,102.3,110.4,106.6
60-15,101.1,102.3,107.9,59.2
65-1,106.8,105.6,109.9,53.6
65-2,102.6,104.6,100.6,109
65-3,102.6,108.2,100.5,102.5
65-4,101,108.8,109.1,107.7
65-5,104.8,113.2,113.4,50.2
65-6,95.1,108.8,110.7,103
65-7,101.5,114.3,105.8,n/a
65-8,115.2,111.2,118.9,104.6
65-9,115.9,104.7,113.7,n/a
65-10,100.8,121.5,102.5,104.7
65-11,105.7,105.4,103.3,105.9
65-12,110.9,118.8,112.8,101.6
65-13,100.6,108.8,108,106.1
65-14,115.6,106.4,102.4,51.8
65-15,106.3,101.2,98.9,101.6
,,,,
