Sample,,,,,,,Metal_A  [ He ] ,,,Metal_B  [ He ] ,,,Metal_C  [ He ] ,,,Metal_D  [ He ] ,,,Metal_E  [ He ] ,,,Metal_F [ He ] ,,,Metal_G  [ He ] ,,,Metal_H [ He ] ,,,Metal_I  [ He ] ,,,Metal_J  [ He ] ,,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD
,FALSE,0.d,2020/11/4 11:56,CalStd,1,0,0,3924.976667,0.965878832,0,3497.1,6.289030489,0,716.7,1.861308776,0,9462.75,2.874133738,0,4088.356667,4.617870228,0,397.79,10.67676994,0,16.66666667,39.99000375,0,37.77666667,45.28991193,0,271.1233333,11.42337406,0,9904.55,1.600805758
,FALSE,1.d,2020/11/4 11:59,CalStd,2,1,<0.000,3149.243333,4.536668062,1.033865278,66862.90667,1.33649657,1.013309654,16939.68333,3.627707606,0.887060655,46725.48,1.377048377,0.647580777,8893.59,1.323235301,0.53540324,28775.07,1.173184979,1.051886444,9654.106667,1.878410979,0.477015359,4879.776667,2.884452095,1.0267268,61459.59667,0.167300831,0.848242027,44708.30667,1.725573864
,FALSE,2.5.d,2020/11/4 12:03,CalStd,3,2.5,1.43563809,5208.663333,5.070528471,2.660250923,166544.4033,1.704040199,2.57436299,41931.98667,0.744157316,2.457084167,112677.41,2.078695107,2.38147486,21759.57667,1.910338982,1.808267716,96239.04667,2.271384659,2.661029322,24397.16,2.442810523,1.489450083,15156.61333,3.237134813,2.610365912,155837.6333,1.793463113,2.531386559,113768.4933,1.444831916
,FALSE,5.d,2020/11/4 12:06,CalStd,4,5,3.541467527,7091.606667,2.177267605,4.931471335,305747.95,1.043277519,4.936730448,79753.24667,0.835531971,5.31453896,232710.4267,1.690273815,5.571713006,45432.05,0.746299505,4.096788425,217534.5267,5.221851405,4.9322261,45205.98667,2.566850393,2.988997746,30377.94667,2.34577951,4.966937107,296279.0767,1.450288749,4.940370056,212610.1833,1.177168508
,FALSE,10.d,2020/11/4 12:09,CalStd,5,7.5,7.805965709,10904.74,3.495448072,7.692762342,474988.02,1.202811418,7.536717588,121378.7733,1.301234381,8.162108011,352328.1733,2.267896384,7.287887192,58166.55,1.528767577,6.935424795,367987.07,3.576212658,7.368291665,67525.35,0.883275334,6.363759251,64633.85667,1.686540559,7.537740135,449487.81,1.75813031,7.498826994,317584.8367,0.328741935
,FALSE,15.d,2020/11/4 12:12,CalStd,6,10,9.257186436,12202.36,2.631679478,10.27895819,633496.4733,0.438924735,10.03751254,161416.2433,0.83466103,10.14518576,435631.26,2.043938277,9.85820343,77239.02667,0.854187317,9.516768458,504802.6633,2.460081006,9.951441431,91192.30667,1.049556956,9.051461014,91915.68667,1.042661785,10.03005128,598018.7667,1.615477068,9.973346445,419115.4967,0.537745172
,FALSE,20.d,2020/11/4 12:15,CalStd,7,20,20.55610101,22305.37,2.428735957,20.53299119,1261968.177,0.15435391,20.06469377,321950.3833,0.812274713,20.57735802,873855.2033,1.823203853,20.26467652,154458.0133,1.321454598,20.31771638,1077271.227,1.362714219,19.96676155,182953.2067,1.231543971,21.55557831,218840.1867,0.297131432,19.94477382,1188893.317,1.390701568,20.18756592,838209.5733,0.165257832
,FALSE,30.d,2020/11/4 12:18,CalStd,8,30,30.38098753,31090.36667,0.649855017,30.31833157,1861713.617,1.895177251,30.17037873,483741.36,0.884242712,31.04323564,1313495.007,0.051594241,30.17996312,228032.2567,0.660774595,30.17374725,1599657.583,0.391211227,30.2043317,276750.3733,1.310668804,0.373543155,3829.47,2.698159294,29.92304416,1783555.04,0.285069534,30.79172281,1273302.96,0.434703378
,FALSE,40.d,2020/11/4 12:21,CalStd,9,40,39.22832823,39001.28333,2.88040419,39.77769551,2441479.897,2.380899753,40.05523278,641996.8567,0.148140143,39.46040704,1667074.87,1.426391153,39.97338556,300702.2333,1.149458188,40.87504194,2166844.357,1.804759372,40.11431954,367546.2133,0.737403508,0.209531443,2164.65,6.141701531,40.34320329,2404551.423,3.3650613,39.80086191,1642952.04,1.517709904
